,strategy,reasoning,prompt_id,status,selection_status,latency,contenders,worker,cost,actual_verdict,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,agentic,"All selection strategies failed. AgenticSelector: All clusters are busy. Picking a cluster with the lowest queue depth, although the 'actual_verdict' indicates it is busy and thus unreliable.",40,REJECTED,SelectionStatus.REJECTED,4.109749056166038,34,,,,,,,,,,,,,,,,,
1,agentic,"All clusters are busy, but Cluster 100 has the requested GPUs and Pymatgen installed.",4,SUCCESS,SelectionStatus.SELECTED,1.6850899530109018,4,100,0.65,BUSY,100,hpc,499467.0,570.0,5741.0,113.0,9831.0,87.0,5.0,565.0,5628.0,0.65,0.015,0.16
2,agentic,Supports lustre backend and has a close numba version.,82,SUCCESS,SelectionStatus.SELECTED,1.8220255309715867,2,98,0.65,BUSY,98,hpc,602164.0,4158.0,6406.0,692.0,65048.0,94.0,6.0,4152.0,5714.0,0.65,0.015,0.16
3,agentic,Meets hardware/network and software requirements and avoids the delay of installing software on cluster 55.,69,SUCCESS,SelectionStatus.SELECTED,2.2215498669538647,2,5,1.3,BUSY,5,hpc,654624.0,5232.0,6819.0,871.0,83621.0,96.0,6.0,5226.0,5948.0,0.65,0.015,0.16
4,agentic,All selection strategies failed. AgenticSelector: Cluster is BUSY and cannot confirm pyarrow version.,70,REJECTED,SelectionStatus.REJECTED,1.4706286629661918,1,,,,,,,,,,,,,,,,,
5,agentic,All selection strategies failed. AgenticSelector: No cluster proposals were provided to evaluate.,48,REJECTED,SelectionStatus.REJECTED,1.0147308770101517,1,,,,,,,,,,,,,,,,,
6,agentic,Best match among busy clusters; meets all requirements and has the shortest queue.,31,SUCCESS,SelectionStatus.SELECTED,2.8661828709300607,31,20,0.65,BUSY,20,hpc,432683.0,1235.0,5477.0,246.0,19434.0,79.0,5.0,1230.0,5231.0,0.65,0.015,0.16
7,agentic,Meets requirements with the lowest queue depth of the BUSY clusters.,99,SUCCESS,SelectionStatus.SELECTED,1.796332207042724,3,20,0.65,BUSY,20,hpc,432683.0,1235.0,5477.0,245.0,19355.0,79.0,5.0,1225.0,5232.0,0.65,0.015,0.16
8,agentic,Lowest queue depth and matches hardware and software requirements.,25,SUCCESS,SelectionStatus.SELECTED,1.5552584039978683,6,74,,BUSY,74,hpc,1102800.0,7376.0,9190.0,922.0,110640.0,120.0,8.0,7376.0,8269.0,0.65,0.015,0.16
9,agentic,"Cluster 12 is READY and meets the hardware/software requirements, user is responsible for environment inside the container.",61,SUCCESS,SelectionStatus.SELECTED,1.8563694930635393,18,12,0.65,BUSY,12,standalone,27.0,0.0,1.0,0.0,-13.0,27.0,0.0,0.0,1.0,0.12,0.01,0.44
10,agentic,"Both clusters are busy, but cluster 41 has more free resources.",28,SUCCESS,SelectionStatus.SELECTED,1.4495328890625387,3,41,,READY,41,hpc,1271296.0,6040.0,9932.0,755.0,96640.0,128.0,8.0,6040.0,9178.0,0.65,0.015,0.16
11,agentic,All selection strategies failed. AgenticSelector: No cluster proposals received.,93,REJECTED,SelectionStatus.REJECTED,1.1728494630660862,1,,,,,,,,,,,,,,,,,
12,agentic,The only READY cluster that meets all requirements.,32,SUCCESS,SelectionStatus.SELECTED,1.4268877720460296,18,1,0.65,BUSY,1,hpc,638911.0,4734.0,7021.0,788.0,71708.0,91.0,6.0,4728.0,6233.0,0.65,0.015,0.16
13,agentic,All clusters are BUSY. Cluster 66 can install DVC via conda and has the correct number of GPUs. It also has support for low-latency MPI and sufficient resources.,11,SUCCESS,SelectionStatus.SELECTED,1.8076601480133832,4,66,13456625.0,BUSY,66,hpc,919255.0,6420.0,8135.0,-3480.0,-393240.0,113.0,6.0,-20880.0,7066.0,0.65,0.015,0.16
14,agentic,"Cluster 27 has a compatible networkx version pre-installed and has sufficient resources, despite being busy.",21,SUCCESS,SelectionStatus.SELECTED,1.5750216199085116,3,27,473.85,BUSY,27,hpc,818448.0,960.0,8024.0,133.0,13614.0,102.0,6.0,798.0,7865.0,0.65,0.015,0.16
15,agentic,All selection strategies failed. AgenticSelector: No proposals received.,44,REJECTED,SelectionStatus.REJECTED,1.2857571179047227,1,,,,,,,,,,,,,,,,,
16,agentic,"Cluster 14 is the least busy and has the required tools to install haystack-ai, although it cannot fully manage the Kubernetes deployment of 3 nodes.",37,SUCCESS,SelectionStatus.SELECTED,1.9513325789012015,12,14,5.8500000000000005,BUSY,14,cloud,3328.0,0.0,52.0,32.0,2076.0,64.0,0.0,0.0,18.0,1.5,0.08,1.49
17,agentic,All selection strategies failed. AgenticSelector: Cluster is BUSY and does not have the correct smilei version.,0,REJECTED,SelectionStatus.REJECTED,1.0590910450555384,1,,,,,,,,,,,,,,,,,
18,agentic,"Cluster 98 is the best match. It has the requested torchvision version, claims to be READY, and has sufficient resources.",64,SUCCESS,SelectionStatus.SELECTED,2.53137246100232,6,98,156702.65000000002,BUSY,98,hpc,602164.0,4158.0,6406.0,201.0,18894.0,94.0,6.0,1206.0,5715.0,0.65,0.015,0.16
19,agentic,"All selection strategies failed. AgenticSelector: All clusters are busy and lack the required pydantic version. Cluster 5 has the lowest queue depth, offering a slightly improved but still low chance of resource allocation.",72,REJECTED,SelectionStatus.REJECTED,2.723886657971889,4,,,,,,,,,,,,,,,,,
20,agentic,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,41,REJECTED,SelectionStatus.REJECTED,1.0590229730587453,1,,,,,,,,,,,,,,,,,
21,agentic,"Shortest queue depth amongst the busy clusters, and has Omnipath and NVIDIA H100 GPUs as requested.",50,SUCCESS,SelectionStatus.SELECTED,1.547337556956336,6,66,78.65,BUSY,66,hpc,919255.0,6420.0,8135.0,-3491.0,-394483.0,113.0,6.0,-20946.0,7067.0,0.65,0.015,0.16
22,agentic,"Lowest queue depth among clusters with Omnipath, Lustre, CPUs, and GPUs. User must manage conda version.",76,SUCCESS,SelectionStatus.SELECTED,4.373761806869879,8,96,624.6500000000001,BUSY,96,hpc,687456.0,8208.0,6944.0,1337.0,132363.0,99.0,6.0,8022.0,5577.0,0.65,0.015,0.16
23,agentic,"All clusters are busy, but cluster 5 has the lowest queue depth and appropriate containerization tools.",42,SUCCESS,SelectionStatus.SELECTED,1.3025294009130448,5,5,0.65,BUSY,5,hpc,654624.0,5232.0,6819.0,870.0,83525.0,96.0,6.0,5220.0,5949.0,0.65,0.015,0.16
24,agentic,All selection strategies failed. AgenticSelector: No READY clusters. Cluster 64 has the lowest queue depth and matches requirements but overall does not fit,39,REJECTED,SelectionStatus.REJECTED,2.733389801811427,34,,,,,,,,,,,,,,,,,
25,agentic,All selection strategies failed. AgenticSelector: Cluster is BUSY due to high queue depth.,38,REJECTED,SelectionStatus.REJECTED,1.1774691629689187,2,,,,,,,,,,,,,,,,,
26,agentic,Smallest queue depth (3585) among those that meet the hardware and software requirements.,60,SUCCESS,SelectionStatus.SELECTED,1.553802004083991,23,64,,BUSY,64,hpc,304658.0,3724.0,4117.0,532.0,39433.0,74.0,7.0,3724.0,3586.0,0.65,0.015,0.16
27,agentic,"Least busy cluster with Biopython and sufficient GPUs, despite lacking low-latency MPI support.",45,SUCCESS,SelectionStatus.SELECTED,1.951398140983656,4,28,,BUSY,28,hpc,808562.0,11557.0,7418.0,1651.0,180026.0,109.0,7.0,11557.0,5768.0,0.65,0.015,0.16
28,agentic,"Both clusters are BUSY and meet requirements, but cluster 98 will be chosen arbitrarily.",57,SUCCESS,SelectionStatus.SELECTED,1.742495517944917,2,98,0.65,BUSY,98,hpc,602164.0,4158.0,6406.0,200.0,18800.0,94.0,6.0,1200.0,5716.0,0.65,0.015,0.16
29,agentic,Cluster 7 is the best option among busy clusters as it provides pymatgen and the requested 6 GPUs per node.,92,SUCCESS,SelectionStatus.SELECTED,1.371347697917372,3,7,,BUSY,7,hpc,1112274.0,1092.0,9117.0,182.0,22204.0,122.0,6.0,1092.0,8936.0,0.65,0.015,0.16
30,agentic,All selection strategies failed. AgenticSelector: Does not meet the GPU requirement (7 instead of 8) and has an extremely high queue depth.,49,REJECTED,SelectionStatus.REJECTED,2.143377948086709,1,,,,,,,,,,,,,,,,,
31,agentic,"Least busy, supports low latency MPI. User needs to install flax.",66,SUCCESS,SelectionStatus.SELECTED,1.8008329491131008,3,66,31.849999999999998,BUSY,66,hpc,919255.0,6420.0,8135.0,-3498.0,-395274.0,113.0,6.0,-20988.0,7068.0,0.65,0.015,0.16
32,agentic,Cluster 16 has a large number of free resources and appropriate GPUs despite requiring the user to install Keras-CV.,36,SUCCESS,SelectionStatus.SELECTED,2.3580151561181992,12,16,,BUSY,16,hpc,1002588.0,10270.0,8643.0,2054.0,238351.0,116.0,5.0,10270.0,6590.0,0.65,0.015,0.16
33,agentic,"Meets all requirements, including pre-installed Cython 3.8.7. While currently busy, it offers a more direct path to execution compared to other clusters needing software installation.",18,SUCCESS,SelectionStatus.SELECTED,1.78284494089894,3,2,3920758.4000000004,BUSY,2,hpc,251328.0,390.0,3927.0,-2378.0,-152158.0,64.0,5.0,-11890.0,3850.0,0.65,0.015,0.16
34,agentic,Lowest queue depth among HPC clusters with the requested GPUs.,52,SUCCESS,SelectionStatus.SELECTED,3.0414456471335143,15,64,1.5,BUSY,64,hpc,304658.0,3724.0,4117.0,531.0,39359.0,74.0,7.0,3717.0,3587.0,0.65,0.015,0.16
35,agentic,Lowest queue depth among clusters with Pennant and GPU support.,68,SUCCESS,SelectionStatus.SELECTED,4.28297885810025,14,76,5.8500000000000005,BUSY,76,hpc,1104480.0,8394.0,9204.0,1396.0,167520.0,120.0,6.0,8376.0,7806.0,0.65,0.015,0.16
36,agentic,"Cluster 42 is the best match for the hardware and software requirements, despite being busy.",56,SUCCESS,SelectionStatus.SELECTED,3.281385328853503,3,42,1.3,BUSY,42,hpc,768200.0,1071.0,7682.0,151.0,15100.0,100.0,7.0,1057.0,7530.0,0.65,0.015,0.16
37,agentic,Best match and immediately available.,74,SUCCESS,SelectionStatus.SELECTED,2.40683870902285,26,25,1511656.25,BUSY,25,hpc,1071720.0,20728.0,8931.0,1066.0,127975.0,120.0,8.0,8528.0,6341.0,0.65,0.015,0.16
38,agentic,"All selection strategies failed. AgenticSelector: No READY cluster available. Cluster 97 has the lowest queue depth among those with the required software, but it is still BUSY and unlikely to provide the requested nodes soon.",62,REJECTED,SelectionStatus.REJECTED,4.837223656941205,9,,,,,,,,,,,,,,,,,
39,agentic,Lowest queue depth and all requirements met.,3,SUCCESS,SelectionStatus.SELECTED,1.5325880891177803,18,46,0.65,BUSY,46,hpc,1002456.0,2954.0,8568.0,421.0,49257.0,117.0,7.0,2947.0,8147.0,0.65,0.015,0.16
40,agentic,"Cluster 10 has the requested MAGMA version and the correct number of GPUs per node, while cluster 68 does not have the correct number of GPUs. Both are BUSY.",67,SUCCESS,SelectionStatus.SELECTED,1.5474783659446985,2,10,1.3,BUSY,10,hpc,1255776.0,12200.0,9888.0,1524.0,193615.0,127.0,8.0,12192.0,8364.0,0.65,0.015,0.16
